교과목명,학점,,,,,,,,,,,,,,,,,,,,,,,,,,,
21세기Leadership(경제사회),1,,,,,,,,,,,,,,,,,,,,,,,,,,,
21세기생명생태철학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D그래픽디자인실습,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D역사파노라마,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D컴퓨터그래픽디자인입문,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D타임머신,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4차 산업혁명과 5G 무선통신,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
4차 산업혁명과 드론 디자인,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4차산업과e-비즈니스(캡스톤디자인),3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4차산업과빅데이터,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4차산업과상업인쇄,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4차산업혁명과 한일문화콘텐츠산업,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4차산업혁명과공공경제학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Listening and Discussion,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
AcademicWriting,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI·사랑·혐오,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AI시대,호모테크놀로지쿠스의미래담론과행복배틀",3,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI시대의인간관계와감정탐구,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI영어교육과언어심리학입문,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI와한국어코퍼스,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI운용수학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI창작조사방법론,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
BasicEAS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BusinessWriting,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
CareerPlan,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG애니메이션심화,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChatGPT를통해영어로들려주는나의이야기,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRM과고객분석,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
C언어및자료구조,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discussion&PresentationinEnglish,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIY전공탐색1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIY전공탐색2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIY전공탐색3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIY전공탐색4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAS1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAS2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empowering techniques to Manage People Projects and Innovation,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnglishConversation3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
English-KoreanConsecutiveInterpreting,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnglishThroughDrama,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnglishthroughFilms,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG대기환경학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
FundamentalsofEnglishListening&Speaking1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIS와 공간분석,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global English1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global English2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to Reason Negotiate and Persuade like a boss,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICT와소프트웨어,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICT혁명과전자정부,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntroductiontoComparativeLaw,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntroductiontoLegalStudies,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
IoT마이크로프로세서,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT기반의비즈니스혁신,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT서비스관리,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
LanguageAndMind,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-기계학습,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-기계학습기본알고리즘,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-데이터과학개요,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-데이터시각화개요,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-딥러닝알고리즘,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-추천시스템고급알고리즘,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-추천시스템기본알고리즘,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-탐색적데이터분석,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPIc,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.R캠페인사례연구,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresentationSkillsandPublicSpeaking,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProfessionalEnglishWriting,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR기획과캠페인,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR문장론1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAT: 상황판단,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAT: 언어논리,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
