NAME,CREDIT,ACADEMIC_TERM_ID
21세기Leadership(경제사회),1,23
21세기생명생태철학,3,23
3D동국여지승람,3,23
3D역사파노라마,3,23
4차 산업혁명과 5G 무선통신,1,23
4차 산업혁명과 드론 디자인,3,23
4차 산업혁명과 사회변동,3,23
4차산업과빅데이터,3,23
4차산업과패키징,3,23
Academic Listening and Discussion,3,23
AcademicEnglishWritingandComposition,3,23
AcademicWriting,3,23
AI·사랑·혐오,3,23
AI기반영상의이해,3,23
AI기반융복합매체캡스톤디자인,3,23
AI를활용한가정과논리및논술,3,23
"AI시대,호모테크놀로지쿠스의미래담론과행복배틀",3,23
AI시대의인간관계와감정탐구,3,23
AI시대의행정법,3,23
AI영어교육과언어학습,3,23
AI융합역사교육탐색,3,23
AI활용뮤지컬제작2(캡스톤디자인),3,23
AI활용뮤지컬제작4(캡스톤디자인) ,3,23
AI활용연극제작2(캡스톤디자인),3,23
AI활용연극제작4(캡스톤디자인),3,23
BasicEAS,0,23
Business English1,3,23
Business English2,3,23
BusinessWriting,3,23
CAD/CAM,3,23
CareerPlan,3,23
ChatGPT를통해영어로들려주는나의이야기,3,23
ComputationalSocialScience입문 ,3,23
Conference Interpreting Practice,3,23
Debate&PublicSpeakinginEnglish,3,23
DIY전공탐색1,1,23
DIY전공탐색2,1,23
DIY전공탐색3,1,23
DIY전공탐색4,1,23
EAS1,2,23
EAS2,2,23
Empowering techniques to Manage People Projects and Innovation,3,23
EnglishConversation3,3,23
EnglishConversation4,3,23
EnglishGrammarforSpecificPurposes,3,23
EnglishThroughDrama,3,23
EnglishthroughFilms,3,23
enterprise4.0과비즈니스모델혁신,3,23
ESG 캡스톤디자인,3,23
FundamentalsofEnglishListening&Speaking2,3,23
FundamentalsofEnglishWriting,3,23
GIS,3,23
HCI와UX,3,23
How to Reason Negotiate and Persuade like a boss,3,23
HVAC&R,3,23
Interpreting Translation & Global Communicaton,3,23
IntroductiontoLegalStudies,1,23
IntroductiontoWesternLaw,3,23
IoT마이크로프로세서,3,23
LanguageAndMind,3,23
MZ에게 북한은 무엇인가?,3,23
N-기계학습,2,23
N-기계학습기본알고리즘,1,23
N-데이터과학개요,1,23
N-데이터시각화개요,1,23
N-딥러닝알고리즘,1,23
N-추천시스템고급알고리즘,1,23
N-추천시스템기본알고리즘,1,23
N-탐색적데이터분석,1,23
OPIc,3,23
OTT각색시나리오실습,3,23
OTT졸업영화캡스톤디자인,3,23
P.R론,3,23
P.R캠페인사례연구,3,23
PresentationSkillsandPublicSpeaking,3,23
PR문장론2,3,23
PSAT: 상황판단,3,23
PSAT: 언어논리,3,23
PSAT: 자료해석,3,23
SoC설계,3,23
SustainableDevelopmentLaw,3,23
TOEIC영어,3,23
TOPIK,3,23
가정교재연구및지도법,3,23
가족네트워크로본동아시아사,3,23
가족법,3,23
가족상담및가족치료,3,23
갈등과화해의동아시아근대사,3,23
감독스타일분석,3,23
감사사례연구,3,23
강구조설계,3,23
"개발도상국,ODA,빈곤",3,23
개별연구,1,23
객체지향언어와실습,3,23
객체지향프로그래밍,3,23
거대한욕망과두려움의그림자,3,23
거시경제원론,3,23
거시경제학Ⅰ,3,23
거시경제학Ⅱ,3,23
건강교육및관리,2,23
건강한정신과신체를위한불교명상,3,23
건물공기조화설비,3,23
건설계약및법규,3,23
건설계약및운영,3,23
건설공정관리,3,23
건설시공및견적,3,23
건설시공및공법1,3,23
건설지질학,3,23
건설환경캡스톤디자인,3,23
건축개론,3,23
건축공학기초설계,3,23
건축공학종합설계2,3,23
건축공학확률응용,3,23
건축과도시문화,3,23
건축과컴퓨터,3,23
건축구조,3,23
건축구조역학1,3,23
건축그래픽스,3,23
건축기술2,3,23
건축물리모델링및유지관리,3,23
건축빛및음환경공학,3,23
건축설계2,3,23
건축설계4,4,23
건축설계입문,3,23
건축재료실험,3,23
건축종합설계2,5,23
게임이론을통한정치분석,3,23
게임프로그래밍,3,23
경영경제,3,23
경영과학,3,23
